id,sellValue,buyValue,sellDay,buyDay
2,125,100120,1121,2997
3,126,100095,1623,1984
4,130,100110,3223,3459
5,151,100107,843,5100
6,182,100095,1299,2000
7,170,100084,703,1518
8,189,100008,534,670
9,301,99840,1740,2145
10,136,100102,4782,5178
11,138,100121,97,3669
12,145,100100,1864,7090
13,139,99983,675,867
14,143,100107,5783,6102
15,126,100083,2035,4127
16,222,100044,1031,1139
17,128,100083,3222,4171
18,133,100124,2220,3920
19,141,100115,5728,8350
20,134,100074,5481,6983
21,152,100114,507,5915
22,129,100121,4010,6465
23,157,100045,2957,3067
24,188,100103,3108,7365
25,127,100115,2620,4220
26,174,100077,219,2201
27,168,99944,1284,1672
28,137,100112,356,3041
29,169,100034,2504,3084
30,140,100110,1412,2279
31,129,100116,1853,7698
32,225,100094,684,902
33,135,100088,725,5011
34,129,100074,5122,6703
35,136,100123,2489,2880
36,206,100105,3169,4482
37,142,100110,6229,7000
38,138,100077,3038,3641
39,137,100107,2822,3494
40,129,100111,3027,5602
41,159,100081,1955,2207
42,242,100106,145,1608
43,164,100121,2094,5154
44,154,100116,113,965
45,150,100054,3705,4233
46,164,100100,2057,3024
47,127,100082,2950,8430
48,137,99973,113,974
49,132,100101,452,6919
50,148,100114,3672,5210
51,143,100090,465,2017
52,132,100097,1004,3054
53,142,100071,389,800
54,134,100122,3042,3704
55,127,100083,3354,4097
56,125,100033,2264,5393
57,131,100121,2479,8684
58,180,100056,2532,2857
59,178,100103,1901,1911
60,142,100108,7382,8760
61,125,100115,3458,6311
62,222,100031,283,311
63,126,100106,2133,2168
64,171,100092,5387,7598
65,154,100107,964,2803
66,132,100095,6963,7614
67,125,100120,1099,4481
68,139,100118,3214,6004
69,125,100088,92,1869
70,127,100113,281,5931
71,137,100114,2628,7252
72,133,100117,5350,5910
73,127,100107,1934,7465
74,135,100122,806,1494
75,129,100107,1233,1733
76,126,100123,538,2791
77,141,100098,4830,5911
78,143,100031,623,2682
79,316,100049,160,735
80,190,100119,4239,4477
81,125,100063,2621,4495
82,127,100095,9151,10785
83,125,100105,182,7004
84,203,100120,2284,2491
85,131,100053,5051,7206
86,135,100097,652,1758
87,144,100118,1963,2332
88,193,100108,823,1383
89,153,100123,2466,2790
90,127,100118,996,3468
91,137,100117,7518,8168
92,132,100102,360,458
93,136,100069,2009,3122
94,147,100097,968,1112
95,143,100104,1952,9346
96,138,100123,930,3791
97,133,100114,4354,5503
98,168,100082,1017,1514
99,150,100089,3137,5650
100,138,100102,1645,5637
101,132,100119,5172,6701
102,126,100122,1952,3744
103,133,100114,3788,10048
104,129,100080,5484,7722
105,125,100095,4083,4371
106,163,100105,2913,4155
107,134,100101,6268,6295
108,145,100099,2468,3120
109,170,99728,353,519
110,132,100123,1172,2401
111,150,100119,4323,5376
112,128,100114,2096,5276
113,138,100120,2977,5332
114,193,100096,1320,2120
115,179,99967,757,1049
116,134,99994,353,373
117,127,100124,1370,1836
118,162,100060,2557,2902
119,164,100085,6683,7179
120,151,100105,1666,3692
121,146,100119,1128,3749
122,178,100084,735,5590
123,137,100124,1684,3571
124,132,100051,536,3366
125,144,100121,1340,5636
126,241,99961,107,604
127,138,100118,6362,9235
128,236,100073,368,1367
129,142,100064,1060,1863
130,128,100113,2790,3347
131,158,100074,3601,3677
132,212,100107,393,693
133,148,100123,4118,8182
134,133,100062,1077,1226
